50,50,100,1.0,0.319091796875,0.680908203125
50,45,95,1.0,0.35302734375,0.64697265625
50,40,90,1.0,0.396728515625,0.603271484375
50,35,85,1.0,0.448486328125,0.551513671875
50,30,80,1.0,0.516845703125,0.483154296875
50,25,75,1.0,0.612060546875,0.387939453125
50,20,70,1.0,0.749755859375,0.250244140625
50,15,65,1.0,0.97509765625,0.02490234375
50,10,60,1.0,0.993896484375,0.006103515625
45,45,90,1.0,0.394287109375,0.605712890625
45,40,85,1.0,0.44140625,0.55859375
45,35,80,1.0,0.498291015625,0.501708984375
45,30,75,1.0,0.576416015625,0.423583984375
45,25,70,1.0,0.6806640625,0.3193359375
45,20,65,1.0,0.83447265625,0.16552734375
45,15,60,1.0,0.997802734375,0.002197265625
45,10,55,1.0,0.994384765625,0.005615234375
40,40,80,1.0,0.49365234375,0.50634765625
40,35,75,1.0,0.560302734375,0.439697265625
40,30,70,1.0,0.64599609375,0.35400390625
40,25,65,1.0,0.76416015625,0.23583984375
40,20,60,1.0,0.9365234375,0.0634765625
40,15,55,1.0,0.998291015625,0.001708984375
40,10,50,1.0,0.9921875,0.0078125
35,35,70,1.0,0.637451171875,0.362548828125
35,30,65,1.0,0.736083984375,0.263916015625
35,25,60,1.0,0.87060546875,0.12939453125
35,20,55,1.0,0.99560546875,0.00439453125
35,15,50,1.0,0.9990234375,0.0009765625
35,10,45,1.0,0.98779296875,0.01220703125
30,30,60,1.0,0.850830078125,0.149169921875
30,25,55,1.0,0.998291015625,0.001708984375
30,20,50,1.0,0.99755859375,0.00244140625
30,15,45,1.0,0.991455078125,0.008544921875
30,10,40,1.0,0.9814453125,0.0185546875
25,25,50,1.0,0.99951171875,0.00048828125
25,20,45,1.0,0.990234375,0.009765625
25,15,40,1.0,0.996826171875,0.003173828125
25,10,35,1.0,0.9951171875,0.0048828125
20,20,40,1.0,0.98828125,0.01171875
20,15,35,1.0,0.999755859375,0.000244140625
20,10,30,1.0,0.98681640625,0.01318359375
15,15,30,1.0,0.979248046875,0.020751953125
15,10,25,1.0,0.977783203125,0.022216796875
10,10,20,1.0,0.9912109375,0.0087890625
