Wall time,Step,Value
1532974575.577055,1,0.0
1532974575.739221,2,0.3333333134651184
1532974575.894496,3,0.37037038803100586
1532974576.044576,4,0.39506176114082336
1532974576.255231,5,0.4120370149612427
1532974576.461073,6,0.42222219705581665
1532974576.650452,7,0.42592594027519226
1532974576.817659,8,0.4470899701118469
1532974576.971147,9,0.4583333134651184
1532974577.134891,10,0.4588477611541748
1532974577.291986,11,0.46481481194496155
1532974577.4529,12,0.46632999181747437
1532974697.42626,1,0.0
1532974697.599942,2,0.5185184478759766
1532974697.756271,3,0.5185185074806213
1532974697.912287,4,0.5123456716537476
1532974698.117081,5,0.5277777910232544
1532974698.278065,6,0.5185185670852661
1532974698.44581,7,0.5154321193695068
1532974698.616897,8,0.5079364776611328
1532974698.856231,9,0.5069444179534912
1532974699.079593,10,0.5
1532974699.311492,11,0.5074074268341064
1532974699.496699,12,0.5050504803657532
1532974699.635452,13,0.5015432238578796
1532974699.768688,14,0.49572649598121643
1532974699.906738,15,0.4920635223388672
1532974700.051264,16,0.48765429854393005
1532974700.211881,17,0.4884259104728699
1532974700.427894,18,0.48366010189056396
1532974700.58041,19,0.48148149251937866
1532974700.721878,20,0.47563356161117554
1532974700.878826,21,0.47777777910232544
1532974701.040441,22,0.474426805973053
1532974701.21871,23,0.4747474789619446
1532974701.360622,24,0.4702093303203583
1532974701.521274,25,0.46682101488113403
1532974701.664672,26,0.465925931930542
1532974701.821706,27,0.4643874764442444
1532974701.971362,28,0.465706467628479
1532974702.115615,29,0.4649471044540405
1532974702.269645,30,0.4687100946903229
1532974702.408904,31,0.4691358208656311
1532974702.594252,32,0.4707288146018982
1532974702.765543,33,0.47280094027519226
1532974702.95822,34,0.4708193242549896
1532974703.168785,35,0.4727668762207031
1532974703.36295,36,0.47460317611694336
1532974703.538863,37,0.4722222089767456
1532974703.72133,38,0.4719719886779785
1532974703.904647,39,0.4731968939304352
1532974704.104983,40,0.47578346729278564
1532974704.299729,41,0.4763888716697693
1532974704.495825,42,0.4760614335536957
1532974704.688181,43,0.4783950448036194
1532974704.87545,44,0.48105084896087646
1532974705.143739,45,0.4835858941078186
1532974705.340072,46,0.48271602392196655
1532974705.56607,47,0.4830917716026306
1532974705.788962,48,0.4802994728088379
1532974706.024321,49,0.4803240895271301
1532974706.219872,50,0.4818594455718994
1532974706.419204,51,0.482962965965271
1532974706.671769,52,0.48366010189056396
1532974706.862496,53,0.48575496673583984
1532974707.055797,54,0.48846960067749023
1532974707.263387,55,0.48799723386764526
1532974707.448371,56,0.49057239294052124
1532974707.657569,57,0.49272486567497253
1532974707.922777,58,0.4938271641731262
1532974708.059668,59,0.49329501390457153
1532974708.200463,60,0.4959196448326111
1532974708.335169,61,0.49845677614212036
1532974708.483921,62,0.5010965466499329
1532974708.615044,63,0.5032264590263367
1532974708.80184,64,0.5032312273979187
1532974708.983673,65,0.5035251975059509
1532974709.117909,66,0.5052345991134644
1532974709.257374,67,0.5060504078865051
1532974709.434297,68,0.5068419575691223
1532974709.636411,69,0.5081548094749451
1532974709.821588,70,0.5088928937911987
1532974710.008704,71,0.5106680393218994
1532974710.197646,72,0.5126540064811707
1532974710.37602,73,0.5148420929908752
1532974710.642007,74,0.5172238349914551
1532974710.823692,75,0.5190407037734985
1532974710.992887,76,0.5215498805046082
1532974711.144522,77,0.5239930152893066
1532974711.323385,78,0.5261322259902954
1532974711.495279,79,0.5284539461135864
1532974711.667275,80,0.5304825305938721
1532974711.823162,81,0.5329233407974243
1532974711.977764,82,0.5353038907051086
1532974712.093772,83,0.5374005436897278
1532974712.25197,84,0.5396697521209717
1532974712.436634,85,0.5418849587440491
1532974712.575615,86,0.5440480709075928
1532974712.757644,87,0.546160876750946
1532974712.935428,88,0.5482250452041626
1532974713.114206,89,0.5502423644065857
1532974713.256468,90,0.5522143244743347
1532974713.379199,91,0.5541424751281738
1532974713.684179,93,0.557873010635376
1532974713.837257,94,0.5596780776977539
1532974714.016309,95,0.5614448189735413
1532974714.166256,96,0.563174307346344
1532974714.291707,97,0.5648677945137024
1532974714.416622,98,0.5665262937545776
1532974714.588012,99,0.56815105676651
1532974714.711701,100,0.5697429180145264
1532974714.863225,101,0.5713029503822327
1532974715.026824,102,0.5728321075439453
1532974716.187361,103,0.5600018501281738
1532974716.370183,104,0.5585876703262329
1532974716.518197,105,0.557219386100769
1532974716.702023,106,0.555895209312439
1532974716.858163,107,0.5546131134033203
1532974717.050253,108,0.5533714890480042
1532974717.192412,109,0.5521684885025024
1532974717.325657,110,0.5512262582778931
1532974717.454971,111,0.5500933527946472
1532974717.583586,112,0.5492130517959595
1532974717.711904,113,0.5485762357711792
1532974717.840909,114,0.547534704208374
1532974717.974062,115,0.5467345118522644
1532974718.152839,116,0.5457504987716675
1532974718.281211,117,0.5452070236206055
1532974718.412352,118,0.5444778800010681
1532974718.54088,119,0.5439722537994385
1532974718.673556,120,0.543226957321167
1532974718.806291,121,0.5436850786209106
1532974718.933102,122,0.5445853471755981
1532974719.063405,123,0.5449600219726562
1532974719.194969,124,0.5450736284255981
1532974719.323004,125,0.5463907718658447
1532974719.452887,126,0.5473803281784058
1532974719.580733,127,0.548595130443573
1532974719.709149,128,0.5505224466323853
1532974719.840015,129,0.5525363683700562
1532974719.966004,130,0.554811418056488
1532974720.099753,131,0.5570439100265503
1532974720.279791,132,0.5599997043609619
1532974720.407795,133,0.5630779266357422
1532974720.54037,134,0.5659842491149902
1532974720.66771,135,0.5688334703445435
1532974720.801556,136,0.5704820156097412
1532974720.927704,137,0.5727227926254272
1532974721.056925,138,0.574974000453949
1532974721.183407,139,0.5770688056945801
1532974721.315674,140,0.579357922077179
1532974721.446309,141,0.5810977220535278
1532974721.573672,142,0.5834095478057861
1532974721.701819,143,0.5855082869529724
1532974721.82752,144,0.5876293778419495
1532974722.006546,145,0.5897604823112488
1532974722.133962,146,0.5919619798660278
1532974722.259251,147,0.5940318703651428
1532974722.386793,148,0.595790684223175
1532974722.516902,149,0.5976861715316772
1532974722.645794,150,0.5996558666229248
1532974722.773066,151,0.6016986966133118
1532974722.901575,152,0.603752076625824
1532974723.030921,153,0.6054592728614807
1532974723.164567,154,0.6073644161224365
1532974723.295872,155,0.6092202663421631
1532974723.420967,156,0.6111900806427002
1532974723.550814,157,0.6129047870635986
1532974723.676274,158,0.6149992346763611
1532974723.806659,159,0.6165194511413574
1532974723.935033,160,0.6188754439353943
1532974724.118119,161,0.6203672885894775
1532974724.250087,162,0.6225248575210571
1532974724.373937,163,0.6239701509475708
1532974724.486091,164,0.6252228021621704
1532974724.604977,165,0.6256923675537109
1532974724.71959,166,0.6258652806282043
1532974724.836548,167,0.6262298226356506
1532974724.950444,168,0.6265906095504761
1532974725.064229,169,0.6269476413726807
1532974725.179989,170,0.6273962259292603
1532974725.294573,171,0.6278402805328369
1532974725.406249,172,0.628185510635376
1532974725.519807,173,0.6285272240638733
1532974725.679561,174,0.6290521621704102
1532974725.795453,175,0.629478931427002
1532974725.911683,176,0.6299014687538147
1532974726.026117,177,0.6303198337554932
1532974726.139611,178,0.6308255195617676
1532974726.253501,179,0.6313261985778809
1532974726.371871,180,0.6317314505577087
1532974726.483403,181,0.6322228908538818
1532974726.59732,182,0.6326198577880859
1532974726.705901,183,0.6331022381782532
1532974726.822082,184,0.6335800290107727
1532974726.934896,185,0.6340532302856445
1532974727.048994,186,0.6345219612121582
1532974727.16794,187,0.6349862217903137
1532974727.283538,188,0.6354461908340454
1532974727.397303,189,0.6359017491340637
1532974727.555669,190,0.6363531351089478
1532974727.667,191,0.6368002891540527
1532974727.778316,192,0.6372433304786682
1532974727.892356,193,0.637682318687439
1532974728.004957,194,0.6381171941757202
1532974728.125831,195,0.6385481953620911
1532974728.244559,196,0.6389752626419067
1532974728.359931,197,0.639398455619812
1532974728.470872,198,0.6398178935050964
1532974728.584155,199,0.6402335166931152
1532974728.697469,200,0.6406455039978027
1532974728.812583,201,0.6410537958145142
1532974728.927828,202,0.6414585113525391
1532974729.096325,203,0.6418596506118774
1532974729.212618,204,0.6422572731971741
1532974729.863702,205,0.6308333873748779
1532974729.997694,206,0.6298832893371582
1532974730.134121,207,0.6289473176002502
1532974730.264054,208,0.6280249953269958
1532974730.392605,209,0.6271161437034607
1532974730.519999,210,0.6262674331665039
1532974730.650694,211,0.6260887980461121
1532974730.782321,212,0.6255638599395752
1532974730.911419,213,0.6249765157699585
1532974731.039773,214,0.6246981620788574
1532974731.171697,215,0.6251119375228882
1532974731.299271,216,0.6251806020736694
1532974731.442003,217,0.6255890727043152
1532974731.609244,218,0.6257691383361816
1532974731.843454,219,0.6263954043388367
1532974731.998424,220,0.6271690726280212
1532974732.144414,221,0.6281553506851196
1532974732.279454,222,0.6295018792152405
1532974732.414796,223,0.6309688091278076
1532974732.554817,224,0.6326367855072021
1532974732.699609,225,0.6340035796165466
1532974732.838654,226,0.6357842683792114
1532974732.970727,227,0.6375183463096619
1532974733.105564,228,0.6390207409858704
1532974733.251829,229,0.6401354670524597
1532974733.393259,230,0.6417770981788635
1532974733.52933,231,0.6430988907814026
1532974733.717026,232,0.6445472240447998
1532974733.848975,233,0.6462406516075134
1532974733.9825,234,0.6473569869995117
1532974734.116033,235,0.6488215327262878
1532974734.257612,236,0.6502698659896851
1532974734.392698,237,0.6518957614898682
1532974734.531312,238,0.6529901027679443
1532974734.664321,239,0.6541637778282166
1532974734.806515,240,0.6553595066070557
1532974734.938047,241,0.6566687822341919
1532974735.070712,242,0.6580559015274048
1532974735.384521,244,0.6606324911117554
1532974735.527177,245,0.6618858575820923
1532974735.659141,246,0.6630586385726929
1532974735.798366,247,0.6644730567932129
1532974736.13685,249,0.6668840646743774
1532974736.274607,250,0.6681960821151733
1532974736.410205,251,0.6695242524147034
1532974736.545488,252,0.6708394885063171
1532974736.681888,253,0.6719270944595337
1532974736.84265,254,0.6730334162712097
1532974736.986045,255,0.6743128299713135
1532974737.120019,256,0.6754578948020935
1532974737.2619,257,0.6766831874847412
1532974737.398044,258,0.6777763366699219
1532974737.532908,259,0.6790998578071594
1532974737.667429,260,0.6803812980651855
1532974737.861028,261,0.681591272354126
1532974737.992877,262,0.6829975247383118
1532974738.127636,263,0.6839786767959595
1532974738.268339,264,0.6852738857269287
1532974738.402909,265,0.6861487627029419
1532974738.526006,266,0.6870317459106445
1532974738.643583,267,0.6872075796127319
1532974738.763776,268,0.6874405741691589
1532974738.878792,269,0.6875560283660889
1532974738.995828,270,0.6877864599227905
1532974739.1126,271,0.6879577040672302
1532974739.235177,272,0.6881279945373535
1532974739.351773,273,0.6882971525192261
1532974739.46901,274,0.6885225176811218
1532974739.708438,276,0.6889121532440186
1532974739.875963,277,0.6890769004821777
1532974739.989475,278,0.689297080039978
1532974740.107519,279,0.6895159482955933
1532974740.233928,280,0.6897334456443787
1532974740.351292,281,0.689949631690979
1532974740.466746,282,0.6901645660400391
1532974740.585637,283,0.6903781890869141
1532974740.706234,284,0.690590500831604
1532974740.821004,285,0.6908016204833984
1532974740.939437,286,0.6910114288330078
1532974741.054782,287,0.6912199258804321
1532974741.173769,288,0.6914272904396057
1532974741.293947,289,0.6916333436965942
1532974741.459993,290,0.691838264465332
1532974741.574866,291,0.6920419931411743
1532974741.697439,292,0.6922444701194763
1532974741.812145,293,0.6924458146095276
1532974741.930571,294,0.6926459670066833
1532974742.185029,296,0.6930428147315979
1532974742.350802,297,0.6932395100593567
1532974742.48545,298,0.6934350728988647
1532974742.602927,299,0.6936295032501221
1532974742.732517,300,0.6938228607177734
1532974742.852871,301,0.6940150856971741
1532974742.966649,302,0.6942062377929688
1532974743.085757,303,0.6943962574005127
1532974743.203938,304,0.6945853233337402
1532974743.322351,305,0.6947731971740723
1532974743.495538,306,0.6949600577354431
1532974744.171158,307,0.6876115798950195
1532974744.316361,308,0.687167763710022
1532974744.588728,310,0.6858114004135132
1532974744.729939,311,0.6855427026748657
1532974744.867844,312,0.6851176619529724
1532974745.005013,313,0.6850138902664185
1532974745.138008,314,0.6849905252456665
1532974745.27763,315,0.6851251125335693
1532974745.414751,316,0.6853682994842529
1532974745.546207,317,0.6858129501342773
1532974745.763448,318,0.6861766576766968
1532974746.029251,319,0.686692476272583
1532974746.205784,320,0.6876664757728577
1532974746.378503,321,0.6886328458786011
1532974746.511294,322,0.6893627047538757
1532974746.662392,323,0.6903151273727417
1532974746.834079,324,0.6912432909011841
1532974747.037664,325,0.6923319101333618
1532974747.187858,326,0.693412184715271
1532974747.34938,327,0.6943173408508301
1532974747.499314,328,0.6954102516174316
1532974747.634683,329,0.6964490413665771
1532974747.807031,330,0.6975252628326416
1532974747.959095,331,0.6984565854072571
1532974748.105294,332,0.6994434595108032
1532974748.259973,333,0.7000676393508911
1532974748.414528,334,0.7010684013366699
1532974748.616632,335,0.7020614147186279
1532974748.752142,336,0.7029118537902832
1532974748.883227,337,0.7038451433181763
1532974749.011211,338,0.7047444581985474
1532974749.140862,339,0.7056636810302734
1532974749.276087,340,0.7065758109092712
1532974749.418838,341,0.7074102163314819
1532974749.574621,342,0.7082644104957581
1532974749.711839,343,0.7092006802558899
1532974749.851117,344,0.7101298570632935
1532974749.997058,345,0.7110082507133484
1532974750.150936,346,0.7118105292320251
1532974750.309904,347,0.7127636671066284
1532974750.509658,348,0.7134661674499512
1532974750.639635,349,0.714406430721283
1532974750.767688,350,0.7153400182723999
1532974750.897347,351,0.7161800265312195
1532974751.039445,352,0.7170140147209167
1532974751.201183,353,0.7179283499717712
1532974751.332064,354,0.7188361883163452
1532974751.461958,355,0.7197808027267456
1532974751.594085,356,0.7206759452819824
1532974751.74153,357,0.7214363813400269
1532974751.880878,358,0.7222957015037537
1532974752.0198,359,0.722997784614563
1532974752.174098,360,0.7238459587097168
1532974752.331873,361,0.7247118353843689
1532974752.493777,362,0.7255061864852905
1532974752.658159,363,0.7262107729911804
1532974752.864888,364,0.7271019816398621
1532974753.001775,365,0.7278801798820496
1532974753.129531,366,0.728695273399353
1532974753.270903,367,0.7294405698776245
1532974753.426225,368,0.7299844026565552
1532974753.542675,369,0.7301121354103088
1532974753.661517,370,0.7301978468894958
1532974753.778376,371,0.7302000522613525
1532974753.896791,372,0.7303265929222107
1532974754.031955,373,0.7304524779319763
1532974754.156185,374,0.730577826499939
1532974754.26971,375,0.7307025790214539
1532974754.382394,376,0.7307857275009155
1532974754.54079,377,0.7308685779571533
1532974754.655736,378,0.7309918999671936
1532974754.775256,379,0.7311146259307861
1532974754.89954,380,0.7311962246894836
1532974755.022534,381,0.731317937374115
1532974755.137792,382,0.7314392328262329
1532974755.254605,383,0.7315195202827454
1532974755.366298,384,0.7316397428512573
1532974755.493788,385,0.7317594885826111
1532974755.629754,386,0.7318387031555176
1532974755.74739,387,0.7319574356079102
1532974755.864521,388,0.7320756912231445
1532974755.976624,389,0.7321935296058655
1532974756.093822,390,0.7323107719421387
1532974756.209563,391,0.732387900352478
